SIC2007,GLA Sector,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010*
A+B+D+E,Primary & utilities,56,55,53,50,48,47,45,43,42,39,35,31,31,31,35,34,38,37,31,25,25,30,29,31,32,28,28
C,Manufacturing,476,455,422,401,380,374,347,300,279,261,257,266,262,262,259,254,252,231,206,196,189,176,167,168,157,131,131
F,Construction,237,239,232,249,254,261,256,242,221,204,209,221,206,196,222,215,235,233,232,234,242,245,258,265,276,261,251
G-wholesale,Wholesale,270,267,261,258,255,247,234,215,205,199,214,223,202,220,232,236,249,230,228,222,218,215,207,208,198,192,180
G-retail,Retail,383,389,388,399,405,408,408,397,388,388,396,392,359,368,395,420,424,431,416,411,413,414,420,416,425,413,401
H,Transportation and Storage,309,304,290,290,288,288,289,281,267,255,257,246,250,259,274,274,273,272,264,265,259,268,265,269,282,277,262
I,Accomodation and food service activities,200,205,203,208,215,221,222,207,201,207,227,234,203,227,252,277,284,292,299,308,313,315,315,313,327,314,323
J,Information and Communication,216,219,216,221,226,230,231,223,215,215,222,228,236,265,288,322,344,356,341,339,314,326,345,346,355,336,360
K,Financial and insurance activities,287,295,308,326,344,341,340,327,309,300,309,321,333,331,334,339,353,365,353,354,337,334,337,351,362,349,365
L+M,"Real Estate, Professional, Scientific & technical",322,340,349,375,397,413,416,400,390,402,424,436,445,454,476,493,521,545,528,545,542,582,611,639,669,669,672
N,Administrative and support service activities,245,255,263,276,290,299,308,302,294,304,318,346,355,377,412,435,468,478,457,447,450,459,468,490,491,456,490
O,Public Admin and defence,279,273,270,269,264,252,256,261,254,242,233,227,224,222,222,228,229,215,237,244,242,256,245,234,235,245,257
P,Education,283,285,288,296,307,310,279,242,235,238,235,226,228,239,248,269,273,263,280,294,306,302,305,313,318,345,341
Q,Health,357,367,368,382,402,398,375,356,343,333,332,333,356,362,355,348,364,383,381,402,414,435,424,402,450,497,472
R,"Arts, entertainment and recreation",97,101,99,104,106,110,115,122,121,122,126,127,135,138,136,149,154,158,163,152,153,157,167,165,180,156,168
S,Other services,74,77,76,79,81,83,88,94,93,93,96,96,110,118,124,133,138,132,134,140,141,144,146,149,145,136,137
,All sectors Total,4094,4126,4085,4183,4262,4282,4211,4012,3858,3803,3897,3960,3934,4070,4263,4426,4598,4619,4546,4577,4556,4658,4709,4759,4903,4803,4837
